Quito, Pichincha,9,9
Guayaquil, Guayas,25,25
Madrid, Comunidad de Madrid,10,11
Madrid, Comunidad de Madrid,10,11
Quito, Pichincha,9,9
Guayaquil, Guayas,25,25
Madrid, Comunidad de Madrid,10,11
Quito, Pichincha,9,9
Guayaquil, Guayas,25,25
Guayaquil, Guayas,25,25
Madrid, Comunidad de Madrid,10,11
Quito, Pichincha,9,9
Guayaquil, Guayas,25,25
Madrid, Comunidad de Madrid,10,11
Quito, Pichincha,9,9
Guayaquil, Guayas,25,25
Quito, Pichincha,9,9
Madrid, Comunidad de Madrid,11,12
Madrid, Comunidad de Madrid,11,12
Guayaquil, Guayas,25,25
Quito, Pichincha,9,9
Guayaquil, Guayas,25,25
Madrid, Comunidad de Madrid,11,12
Quito, Pichincha,9,9
Quito, Pichincha,9,9
Guayaquil, Guayas,25,25
Madrid, Comunidad de Madrid,11,12
Madrid, Comunidad de Madrid,11,12
Guayaquil, Guayas,25,25
Quito, Pichincha,9,9
Madrid, Comunidad de Madrid,11,12
Quito, Pichincha,9,9
Guayaquil, Guayas,25,25
